Vaccine Candidate	Trial Phase	Donor Country	Finalized Commitment	Manufacturer	Manufacturer Primary Location	Recipient Country 	Doses Committed (in millions)	1 or 2 doses	Timeline 	Donation/Purchased	Secondary or Tertiary Transfer	Transfer Type	Recipient Income Level	 GNI/capita (Atlas method) 	GNI (Current USD, in millions)	Doses/Capita	Proportion of population	 Population size 	Population size (in millions)	Notes	Source
AstraZeneca/Oxford	Approved	Lithuania	Yes			Georgia	0.015	2		Donation	Secondary	Unclear	Upper middle income	 4,780 	17,789.95	0.0040	0.202%	 3,720,382 	 3.720 	Lithuania has pledged to donate 0.2m doses to its eastern partners. Allocation of the remaining doses is yet to be announced. The doses are expected to be delivered between July and end of September	https://urm.lt/default/en/news/lithuanias-foreign-minister-gabrielius-landsbergis-lithuania-to-allocate-200-000-vaccine-doses-to-eastern-partners ; https://www.reuters.com/article/health-coronavirus-lithuania-astrazeneca-idUSL8N2N12B2
AstraZeneca/Oxford	Approved	Lithuania	Yes			Moldova	0.011	2		Donation	Secondary	Unclear	Lower middle income	 4,590 	12,194.85	0.0041	0.207%	 2,657,637 	 2.658 	Lithuania has pledged to donate 0.2m doses to its eastern partners. Allocation of the remaining doses is yet to be announced. The doses are expected to be delivered between July and end of September	https://urm.lt/default/en/news/lithuanias-foreign-minister-gabrielius-landsbergis-lithuania-to-allocate-200-000-vaccine-doses-to-eastern-partners ; https://www.reuters.com/article/health-coronavirus-lithuania-astrazeneca-idUSL8N2N12B2
AstraZeneca/Oxford		Lithuania	Yes			Taiwan	0.02	2	Jun-21	Donation	Secondary	Direct	High income	 26,594 	#N/A	0.0008	0.042%	 23,603,121 	 23.603 	Lithuania will donate 20,000 doses of AstraZeneca Plc (AZN.L) COVID-19 vaccine to Taiwan,	https://www.reuters.com/article/us-health-coronavirus-lithuania-taiwan/lithuania-donates-covid-19-vaccines-to-taiwan-idUSKCN2DY1A4
Not available	#N/A	Malaysia	Yes			Bosnia and Herzegovina	0.05	#N/A		Donation	Secondary	Direct	Upper middle income	 6,170 	20,375.25	0.0151	#N/A	 3,301,000 	 3.301 	Malaysia has approved donation of undisclosed Chinese vaccine to Bosnia	https://hr.n1info.com/english/news/malaysia-moves-to-donate-50000-doses-of-covid-vaccine-to-bosnia/
AstraZeneca/Oxford	Approved	Mexico	Yes			Honduras	0.1541	2		Donation	Secondary	Direct	Lower middle income	 2,390 	23,303.43	0.0158	0.791%	 9,746,117 	 9.746 	The Mexican government announced on Friday it is donating to Honduras 154,100 doses of the AstraZeneca (AZN.L) COVID-19 vaccine.	https://www.reuters.com/world/americas/mexico-donate-154100-doses-astrazeneza-vaccine-honduras-2021-06-19/
AstraZeneca/Oxford	Approved	Mexico	Yes			Guatemala	0.15	2	Jun-21	Donation	Secondary	Direct	Upper middle income	 4,610 	76,502.44	0.0090	0.452%	 16,604,026 	 16.604 		https://www.gob.mx/sre/prensa/mexico-donates-400-800-doses-of-covid-19-vaccines-and-three-tons-of-medical-supplies-to-guatemala-el-salvador-and-honduras?idiom=en ; https://www.reuters.com/world/americas/mexico-donate-154100-doses-astrazeneza-vaccine-honduras-2021-06-19/
AstraZeneca/Oxford	Approved	Mexico	Yes			El Salvador	0.1008	2	Jun-21	Donation	Secondary	Direct	Lower middle income	 4,000 	25,807.94	0.0156	0.781%	 6,453,553 	 6.454 		https://www.gob.mx/sre/prensa/mexico-donates-400-800-doses-of-covid-19-vaccines-and-three-tons-of-medical-supplies-to-guatemala-el-salvador-and-honduras?idiom=en ; https://www.reuters.com/world/americas/mexico-donate-154100-doses-astrazeneza-vaccine-honduras-2021-06-19/
Not available	#N/A	MTN Group	Yes			African Union	7	#N/A		Grant	Secondary	Direct	Lower middle income	 1,822 	2,373,996.74	0.0054	#N/A	 1,302,819,408 	 1,302.819 	MTN Group has donated 25 million USD to the African Union, to be used to purchase up to 7 million doses of vaccines (it is unclear from which manufacturer, although at least some of them are from AstraZeneca). As of April 2021, nine african countries have received doses - Ghana, Gambia, Liberia, Guinea Bissau, Sierra Leone, Nigeria, Senegal, Mauritius and Togo	https://www.reuters.com/article/us-healthcare-coronavirus-africa-idUSKBN2BH1H7 ; https://www.reuters.com/article/us-health-coronavirus-ghana-vaccine/ghana-takes-delivery-of-first-covid-19-vaccines-donated-by-mtn-group-idUSKBN2BF2S8 ; https://www.mtn.com/mtn-partners-with-african-union-on-covid-19-vaccinations/
Not available	#N/A	New Zealand	Yes			COVAX	1.3888	#N/A	Apr-21	Donation	Secondary	Direct	COVAX	 9,100 	62,148,189.00	0.0002	#N/A	 6,829,734,856 	 6,829.735 	New Zealand announced donation of 1.6m at a Gavi event, did not mention which vaccine. Allocation of 0.2112m AZE doses has been made since to 6 Pacific nations, hence total doses is reduced. Current donations were coordinated through COVAX but not directly to COVAX	https://www.reuters.com/business/healthcare-pharmaceuticals/new-zealand-donate-vaccines-800000-covax-vaccine-facility-ardern-2021-04-15/ ; https://www.gavi.org/news/media-room/new-zealand-transfers-vaccine-doses-covax-6-pacific-nations-first-benefit
AstraZeneca/Oxford	Approved	New Zealand	Yes			Fiji	0.25	2	Apr-21	Donation	Secondary	Direct	Upper middle income	 5,800 	5,163.26	0.2809	14.046%	 889,953 	 0.890 		https://www.beehive.govt.nz/release/new%C2%A0zealand-donate-250000-courses-covid-19-vaccines-fiji
AstraZeneca/Oxford	Approved	New Zealand	Yes			Papua New Guinea	0.1464	2	Jun-21	Donation	Secondary	Intermediary - COVAX	Lower middle income	 2,750 	24,151.32	0.0167	0.834%	 8,776,109 	 8.776 	New Zealand had earlier pledged to donate 1.6m doses to COVAX, this donation is assumed to be part of that pledge. New Zealand is sending these doses from its own COVAX allocations. The number of doses are decided by COVAX allocation team, more donations are expected to be announced.	https://www.gavi.org/news/media-room/new-zealand-transfers-vaccine-doses-covax-6-pacific-nations-first-benefit ; https://www.nzherald.co.nz/nz/covid-19-coronavirus-100000-pfizer-doses-from-covax-plan-kept-for-local-vaccination-pacific-nations-get-astrazeneca/OYWVKU3QSUROWEU5W2CJ5AVGYE/
AstraZeneca/Oxford	Approved	New Zealand	Yes			Solomon Islands	0.0288	2	Jun-21	Donation	Secondary	Intermediary - COVAX	Lower middle income	 2,390 	1,598.87	0.0430	2.150%	 669,823 	 0.670 	New Zealand had earlier pledged to donate 1.6m doses to COVAX, this donation is assumed to be part of that pledge. New Zealand is sending these doses from its own COVAX allocations. The number of doses are decided by COVAX allocation team, more donations are expected to be announced.	https://www.gavi.org/news/media-room/new-zealand-transfers-vaccine-doses-covax-6-pacific-nations-first-benefit ; https://www.nzherald.co.nz/nz/covid-19-coronavirus-100000-pfizer-doses-from-covax-plan-kept-for-local-vaccination-pacific-nations-get-astrazeneca/OYWVKU3QSUROWEU5W2CJ5AVGYE/
AstraZeneca/Oxford	Approved	New Zealand	Yes			Timor-Leste	0.024	2	Jun-21	Donation	Secondary	Intermediary - COVAX	Lower middle income	 2,020 	2,606.90	0.0186	0.928%	 1,293,119 	 1.293 	New Zealand had earlier pledged to donate 1.6m doses to COVAX, this donation is assumed to be part of that pledge. New Zealand is sending these doses from its own COVAX allocations. The number of doses are decided by COVAX allocation team, more donations are expected to be announced.	https://www.gavi.org/news/media-room/new-zealand-transfers-vaccine-doses-covax-6-pacific-nations-first-benefit ; https://www.nzherald.co.nz/nz/covid-19-coronavirus-100000-pfizer-doses-from-covax-plan-kept-for-local-vaccination-pacific-nations-get-astrazeneca/OYWVKU3QSUROWEU5W2CJ5AVGYE/
AstraZeneca/Oxford	Approved	New Zealand	Yes			Tonga	0.0048	2	Jun-21	Donation	Secondary	Intermediary - COVAX	Upper middle income	 5,000 	522.80	0.0459	2.297%	 104,494 	 0.104 	New Zealand had earlier pledged to donate 1.6m doses to COVAX, this donation is assumed to be part of that pledge. New Zealand is sending these doses from its own COVAX allocations. The number of doses are decided by COVAX allocation team, more donations are expected to be announced.	https://www.gavi.org/news/media-room/new-zealand-transfers-vaccine-doses-covax-6-pacific-nations-first-benefit ; https://www.nzherald.co.nz/nz/covid-19-coronavirus-100000-pfizer-doses-from-covax-plan-kept-for-local-vaccination-pacific-nations-get-astrazeneca/OYWVKU3QSUROWEU5W2CJ5AVGYE/
AstraZeneca/Oxford	Approved	New Zealand	Yes			Tuvalu	0.0048	2	Jun-21	Donation	Secondary	Intermediary - COVAX	Upper middle income	 5,620 	65.48	0.4122	20.608%	 11,646 	 0.012 	New Zealand had earlier pledged to donate 1.6m doses to COVAX, this donation is assumed to be part of that pledge. New Zealand is sending these doses from its own COVAX allocations. The number of doses are decided by COVAX allocation team, more donations are expected to be announced.	https://www.gavi.org/news/media-room/new-zealand-transfers-vaccine-doses-covax-6-pacific-nations-first-benefit ; https://www.nzherald.co.nz/nz/covid-19-coronavirus-100000-pfizer-doses-from-covax-plan-kept-for-local-vaccination-pacific-nations-get-astrazeneca/OYWVKU3QSUROWEU5W2CJ5AVGYE/
AstraZeneca/Oxford	Approved	New Zealand	Yes			Fiji	0.0024	2	Jun-21	Donation	Secondary	Intermediary - COVAX	Upper middle income	 5,800 	5,163.26	0.0027	0.135%	 889,953 	 0.890 	New Zealand had earlier pledged to donate 1.6m doses to COVAX, this donation is assumed to be part of that pledge. New Zealand is sending these doses from its own COVAX allocations. The number of doses are decided by COVAX allocation team, more donations are expected to be announced.	https://www.gavi.org/news/media-room/new-zealand-transfers-vaccine-doses-covax-6-pacific-nations-first-benefit ; https://www.nzherald.co.nz/nz/covid-19-coronavirus-100000-pfizer-doses-from-covax-plan-kept-for-local-vaccination-pacific-nations-get-astrazeneca/OYWVKU3QSUROWEU5W2CJ5AVGYE/
Not available	#N/A	Norway	Yes			COVAX	2	#N/A		Donation	Secondary	Direct	COVAX	 9,100 	62,148,189.00	0.0003	#N/A	 6,829,734,856 	 6,829.735 	Reports suggest Norway has donated nearly 700,000 doses as of March 2021 and plans to donate up to roughly 2m doses. These doses are the shares that Norway had reserved via COVAX, but it has chosen not to receive them and to have them sent to other countries instead. Given how allocations with COVAX work, it is not clear which vaccines will be donated, but so far it has been AstraZeneca.	https://development-today.com/archive/dt-2021/dt-2--2021/norway-has-donated-almost-700-000-corona-vaccine-doses-to-poorer-nations ; https://www.thelocal.no/20210323/why-norway-turned-down-the-chance-to-order-nearly-700000-covid-19-vaccines/
AstraZeneca/Oxford	Approved	Norway	Yes			Iceland	0.016	2	Apr-21	Loan	Secondary	Direct	High income	 72,850 	26,320.62	0.0443	2.214%	 361,313 	 0.361 	Reports suggest Norway will 'lend' these unused doses to Sweden and Iceland	https://www.reuters.com/world/europe/norway-lend-unused-astrazeneca-vaccine-doses-sweden-iceland-says-health-ministry-2021-04-22/
AstraZeneca/Oxford	Approved	Norway	Yes			Sweden	0.2	2	Apr-21	Loan	Secondary	Direct	High income	 55,780 	573,770.77	0.0194	0.972%	 10,285,453 	 10.285 	Reports suggest Norway will 'lend' these unused doses to Sweden and Iceland	https://www.reuters.com/world/europe/norway-lend-unused-astrazeneca-vaccine-doses-sweden-iceland-says-health-ministry-2021-04-22/
AstraZeneca/Oxford	Approved	Poland	Yes	Serum Institute	India	Serbia	0.8	2	Feb-21	Purchased	Secondary	Direct	Upper middle income	 7,030 	48,848.12	0.1152	5.760%	 6,944,975 	 6.945 	Little information provided, beyond that Serbia will import doses from Poland.	https://rs.n1info.com/english/news/vucic-fourth-vaccine-arriving-in-serbia-soon/
AstraZeneca/Oxford	Approved	Poland	Yes			Ukraine	1.2	2		Donation	Secondary	Direct	Lower middle income	 3,370 	141,637.01	0.0270	1.352%	 44,385,155 	 44.385 		https://www.reuters.com/article/health-coronavirus-ukraine-eu/update-1-eu-backs-polands-plan-to-give-ukraine-extra-12-mln-vaccine-doses-says-kyiv-idUSL1N2KG1SK
Not available	#N/A	Portugal	Yes			Angola		#N/A		Donation	Secondary	Unclear	Lower middle income	 2,960 	94,225.02	0.0000	#N/A	 31,825,295 	 31.825 	Portugal has stated it will send 5% of its allocation of vaccines through the EU purchasing arrangement - equivalent to 1.75 million doses - to a group of former Portuguese colonies. It is unclear which vaccine will be donated or how many doses will go to each of the countries.	https://www.reuters.com/article/us-health-coronavirus-portugal/portugal-to-share-covid-19-shots-with-its-former-colonies-in-africa-east-timor-idUSKBN2AO1S6
Not available	#N/A	Portugal	Yes			Cabo Verde		#N/A		Donation	Secondary	Unclear	Lower middle income	 3,630 	1,995.34	0.0000	#N/A	 549,935 	 0.550 	Portugal has stated it will send 5% of its allocation of vaccines through the EU purchasing arrangement - equivalent to 1.75 million doses - to a group of former Portuguese colonies. It is unclear which vaccine will be donated or how many doses will go to each of the countries.	https://www.reuters.com/article/us-health-coronavirus-portugal/portugal-to-share-covid-19-shots-with-its-former-colonies-in-africa-east-timor-idUSKBN2AO1S8
Not available	#N/A	Portugal	Yes			Equatorial Guinea		#N/A		Donation	Secondary	Unclear	Upper middle income	 6,460 	8,765.71	0.0000	#N/A	 1,355,986 	 1.356 	Portugal has stated it will send 5% of its allocation of vaccines through the EU purchasing arrangement - equivalent to 1.75 million doses - to a group of former Portuguese colonies. It is unclear which vaccine will be donated or how many doses will go to each of the countries.	https://www.reuters.com/article/us-health-coronavirus-portugal/portugal-to-share-covid-19-shots-with-its-former-colonies-in-africa-east-timor-idUSKBN2AO1S11
Not available	#N/A	Portugal	Yes			Guinea-Bissau		#N/A		Donation	Secondary	Unclear	Low income	 820 	1,569.76	0.0000	#N/A	 1,920,922 	 1.921 	Portugal has stated it will send 5% of its allocation of vaccines through the EU purchasing arrangement - equivalent to 1.75 million doses - to a group of former Portuguese colonies. It is unclear which vaccine will be donated or how many doses will go to each of the countries.	https://www.reuters.com/article/us-health-coronavirus-portugal/portugal-to-share-covid-19-shots-with-its-former-colonies-in-africa-east-timor-idUSKBN2AO1S9
Not available	#N/A	Portugal	Yes			Mozambique		#N/A		Donation	Secondary	Unclear	Low income	 490 	14,772.88	0.0000	#N/A	 30,366,036 	 30.366 	Portugal has stated it will send 5% of its allocation of vaccines through the EU purchasing arrangement - equivalent to 1.75 million doses - to a group of former Portuguese colonies. It is unclear which vaccine will be donated or how many doses will go to each of the countries.	https://www.reuters.com/article/us-health-coronavirus-portugal/portugal-to-share-covid-19-shots-with-its-former-colonies-in-africa-east-timor-idUSKBN2AO1S7
Not available	#N/A	Portugal	Yes			São Tomé and Principe		#N/A		Donation	Secondary	Unclear	Lower middle income	 1,930 	414.57	0.0000	#N/A	 215,056 	 0.215 	Portugal has stated it will send 5% of its allocation of vaccines through the EU purchasing arrangement - equivalent to 1.75 million doses - to a group of former Portuguese colonies. It is unclear which vaccine will be donated or how many doses will go to each of the countries.	https://www.reuters.com/article/us-health-coronavirus-portugal/portugal-to-share-covid-19-shots-with-its-former-colonies-in-africa-east-timor-idUSKBN2AO1S10
Moderna	Approved	Qatar	Yes			Paraguay	0.4	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 5,520 	38,878.97	0.0568	2.839%	 7,044,636 	 7.045 		https://www.mre.gov.py/index.php/noticias-de-embajadas-y-consulados/canciller-anuncia-donacion-de-600-mil-dosis-de-vacunas-contra-la-covid-19-de-india-y-qatar
Pfizer/BioNTech	Approved	Qatar	Yes			West Bank and Gaza	0.014	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 4,190 	19,140.22	0.0030	0.149%	 4,685,306 	 4.685 	Vaccines donated for Palestinian workers crossing from Gaza into WB and IL	https://www.un.org/unispal/document/coronavirus-disease-2019-covid-19-who-situation-report-70/
Sinovac	Approved	Red Cross Society of China	Yes			Myanmar	0.015	2	May-21	Donation	Secondary	Direct	Lower middle income	 1,390 	75,186.23	0.0003	0.014%	 54,045,420 	 54.045 	The Red Cross Society of China has donated these doses to the Kachin Independence Organisation (KIO). The doses have been administered in the border regions controlled by the KIO.	https://www.aljazeera.com/news/2021/5/10/ethnic-groups-step-in-as-myanmars-covid-response-falls-apart
AstraZeneca/Oxford	Approved	Romania	Yes			Moldova	0.3	2	Feb-21	Donation	Secondary	Direct	Lower middle income	 4,590 	12,194.85	0.1129	5.644%	 2,657,637 	 2.658 	Romania is donating these doses from its EU allocated doses. First batch of 0.2m doses sent in Feb 2021. Another batch of 0.1m doses announced in May 2021	https://www.rferl.org/a/moldova-covid-vaccines-romania-/31125668.html ; https://gov.ro/ro/stiri/declaratii-sustinute-de-premierul-florin-citu-i-ministrul-transporturilor-i-infrastructurii-catalin-drula-la-finalul-edintei-de-guvern
AstraZeneca/Oxford	Approved	Romania	Yes			Ukraine	0.1	2		Donation	Secondary	Direct	Lower middle income	 3,370 	141,637.01	0.0023	0.113%	 44,385,155 	 44.385 	Donation announced in May 2021, timeline of delivery not clear	https://gov.ro/ro/stiri/declaratii-sustinute-de-premierul-florin-citu-i-ministrul-transporturilor-i-infrastructurii-catalin-drula-la-finalul-edintei-de-guvern
Gamaleya	Approved	Russian Federation	Yes			Armenia	0.00106	2	Feb-21	Donation	Secondary	Direct	Upper middle income	 4,680 	13,834.50	0.0004	0.018%	 2,957,731 	 2.958 	Armenia received 60 doses, and is expecting another 1000 doses as a gift	https://rus.azatutyun.am/a/31063592.html
Gamaleya	Approved	Russian Federation	Yes			Belize	0.02	2		Donation	Secondary	Direct	Upper middle income	 4,480 	1,750.39	0.0512	2.562%	 390,353 	 0.390 	The ministry announced that it will be getting Sputnik V from the Panama ambassador, but other reports identify it as coming from Russia.	https://www.breakingbelizenews.com/2021/02/05/minister-of-health-announces-procurement-of-covid-19-vaccines-from-astrazeneca-africa-russia/ ; https://www.sanpedrosun.com/health/2021/02/06/first-batch-of-covid-19-vaccines-soon-to-be-delivered-to-belize/
Gamaleya	Approved	Russian Federation	Yes			Lao PDR		2	Jan-21	Donation	Secondary	Direct	Lower middle income	 2,570 	18,438.74	0.0000	0.000%	 7,169,455 	 7.169 		https://tass.ru/obschestvo/10517633 ; https://news.cgtn.com/news/2021-02-08/China-donated-Sinopharm-COVID-19-vaccines-arrive-in-Laos-XICEI94lEc/index.html
Gamaleya	Approved	Russian Federation	Unclear			Lebanon	0.2	2	Feb-21	Donation	Secondary	Direct	Upper middle income	 7,380 	50,560.91	0.0292	1.459%	 6,855,713 	 6.856 	No update after it was first announced in Feb 21	https://www.plenglish.com/index.php?o=rn&id=64198
Gamaleya	Approved	Russian Federation	Yes			Moldova	0.182	2	Apr-21	Donation	Secondary	Direct	Lower middle income	 4,590 	12,194.85	0.0685	3.424%	 2,657,637 	 2.658 		https://www.reuters.com/article/health-coronavirus-moldova-sinovac-idUSL8N2M24JT
Gamaleya	Approved	Russian Federation	Yes			Nicaragua	0.006	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 1,890 	12,342.05	0.0009	0.046%	 6,545,502 	 6.546 		https://www.plenglish.com/index.php?o=rn&id=65014&SEO=nicaragua-to-receive-more-than-340000-vaccines-in-march ; https://confidencial.com.ni/english/astrazeneca-and-sputnik-v-covid-19-vaccines-arrive-in-nicaragua/ ; https://www.reuters.com/article/us-health-coronavirus-nicaragua-vaccine-idUSKBN2AO2Q4
Gamaleya	Approved	Russian Federation	Yes			Palestine	0.01	2	Feb-21	Donation	Secondary	Direct	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A		https://www.washingtonpost.com/world/israel-to-vaccinate-palestinian-workers/2021/02/20/5097c53a-7358-11eb-93be-c10813e358a2_story.html
Gamaleya	Approved	Russian Federation	Yes			Seychelles		2	Feb-21	Donation	Secondary	Direct	High income	 16,900 	1,650.34	0.0000	0.000%	 97,625 	 0.098 		https://www.nation.sc/articles/7910/russia-to-donate-home-made-sputnik-v-vaccine-to-seychelles ; https://www.devex.com/news/interactive-what-does-the-data-show-about-covid-19-vaccine-diplomacy-99416
Gamaleya	Approved	Russian Federation	Yes			St. Vincent and the Grenadines	0.0014	2	Apr-21	Donation	Secondary	Direct	Upper middle income	 7,460 	825.44	0.0127	0.633%	 110,589 	 0.111 	The SearchLight article mentions that vaccines were donated by a "friend" of the country. However, previous reports have indicated some donation from Russia	https://searchlight.vc/news/2021/04/01/vincentians-line-up-for-sputnik-v-vaccine/ ; https://www.caribbeannationalweekly.com/caribbean-breaking-news-featured/prime-minister-of-st-vincent-urges-residents-to-take-covid-19-vaccine/
Gamaleya	Approved	Russian Federation	Yes			Vietnam	0.001	2	Mar-21	Donation	Secondary	Direct	Lower middle income	 2,590 	249,440.75	0.0000	0.001%	 96,462,106 	 96.462 		https://vietnamnews.vn/society/905655/russian-security-secretary-gifts-1000-doses-of-sputnik-v-vaccine-to-viet-nam.html
Vector Institute	Approved	Russian Federation	Yes			Belarus		2	Feb-21	Donation	Secondary	Direct	Upper middle income	 6,290 	59,501.93	0.0000	0.000%	 9,466,856 	 9.467 	Russia sent 'hundreds of doses' as gift to Belarus. The exact number is undisclosed	https://tass.ru/obschestvo/10614419 ; https://eng.belta.by/society/view/belarus-receives-russias-epivaccorona-vaccine-137131-2021/
Sinopharm/Beijing	Approved	Senegal	Yes	Sinopharm	China	Gambia, The	0.01	2	Feb-21	Donation	Secondary	Direct	Low income	 750 	1,770.49	0.0043	0.213%	 2,347,706 	 2.348 		https://www.emergency-live.com/news/covid-in-africa-from-senegal-a-gesture-of-african-solidarity-for-the-gambia-and-guinea-bissau-20000-doses-donated/ https://apnews.com/article/health-coronavirus-pandemic-africa-senegal-china-ec169b63636fc8cee4ae5e2fc1fb9737
Sinopharm/Beijing	Approved	Senegal	Yes			Guinea-Bissau	0.01	2	Feb-21	Donation	Secondary	Direct	Low income	 820 	1,569.76	0.0052	0.260%	 1,920,922 	 1.921 		https://www.reuters.com/article/uk-health-coronavirus-senegal-vaccinatio/senegal-begins-vaccinating-against-coronavirus-with-doses-from-china-idUSKBN2AN166
AstraZeneca/Oxford	Approved	Serbia	Yes			Bosnia and Herzegovina	0.03	2	Mar-21	Donation	Secondary	Direct	Upper middle income	 6,170 	20,375.25	0.0091	0.454%	 3,301,000 	 3.301 	Reports say Serbia donated 10,000 doses to Federation entity. Another 0.02m doses donated in April 2021 during a visit to the Torlak Institute. The doses were given to the Bosnian Serb leader	https://balkaninsight.com/2021/04/15/vucic-says-serbia-will-produce-sputnik-vaccines-by-june/ ; https://balkaninsight.com/2021/03/31/bosnian-leaders-slammed-for-vaccine-scarcity-as-pandemic-worsens/ ; https://www.reuters.com/article/us-health-coronavirus-serbia-bosnia/former-enemy-serbia-donates-covid-19-vaccines-to-bosnias-muslims-croats-idUKKBN2AU1HR
Not available	#N/A	Serbia	Yes			Kosovo		#N/A		Donation	Secondary	Direct	Upper middle income	 4,640 	8,333.44	0.0000	#N/A	 1,794,248 	 1.794 	Media reports suggest that Serbia sent vaccines to Serb-dominated regions in Kosovo without the Kosovo govt approval. There are reports that Serbia is also willing to make further donations to Kosovo, even in non-Serb majority areas.	https://www.dw.com/en/serbia-provokes-kosovo-with-vaccination-donations/av-56612063 ; https://www.aljazeera.com/opinions/2021/3/17/serbias-vaccine-diplomacy-in-chinas-shadow
Gamaleya	Approved	Serbia	Yes			Montenegro	0.002	2	Feb-21	Donation	Secondary	Direct	Upper middle income	 9,060 	5,634.42	0.0032	0.161%	 622,137 	 0.622 		https://www.rferl.org/a/north-macedonia-kicks-off-covid-19-vaccinations/31108206.html ; https://www.slobodnaevropa.org/a/sputnik-v-u-crnu-goru-slije%C4%87e-preko-beograda/31107950.html
Gamaleya	Approved	Serbia	Yes			North Macedonia	0.04	2	Apr-21	Donation	Secondary	Direct	Upper middle income	 5,840 	12,164.37	0.0192	0.960%	 2,083,459 	 2.083 		https://seenews.com/news/n-macedonia-receives-20000-sputnik-v-coronavirus-vaccines-from-serbia-736755
Pfizer/BioNTech	Approved	Serbia	Yes			North Macedonia	0.008	2		Donation	Secondary	Direct	Upper middle income	 5,840 	12,164.37	0.0038	0.192%	 2,083,459 	 2.083 	Unclear whether this is a donation or a purchase. Earlier reports identified is as a purchase, but more recent reports categorize it as a donation.	https://www.reuters.com/article/health-coronavirus-nmacedonia-serbia-idUSL1N2KK06U ; https://apnews.com/article/europe-serbia-coronavirus-pandemic-northmacedonia-aleksandar-vucic-92093d27112edad3cc7e7faa427e11ad ; https://europeanwesternbalkans.com/2021/01/18/zaev-north-macedonia-to-get-8-000-doses-of-the-pfizer-vaccine-from-serbia/
Pfizer/BioNTech	Approved	Serbia	Yes			Czech Republic	0.10062	2	May-21	Donation	Secondary	Direct	High income	 21,940 	234,060.68	0.0094	0.472%	 10,669,709 	 10.670 		https://praguemorning.cz/serbia-donated-100-000-doses-of-vaccine-to-the-czech-republic/
Gamaleya	Approved	Slovak Republic	No			Unclear	0.16	2		Unclear	Secondary	Unclear	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	Slovakia is planning to sell or donate these doses to other countries. Decisions on this transfer are yet to be made	https://www.reuters.com/article/health-coronavirus-slovakia-sputnik/slovakia-offers-160000-doses-of-sputnik-covid-19-vaccine-idUSL5N2O52J6
Pfizer/BioNTech	Approved	Slovenia	Yes			Czech Republic	0.01	2	Apr-21	Donation	Secondary	Direct	High income	 21,940 	234,060.68	0.0009	0.047%	 10,669,709 	 10.670 		https://www.politico.eu/article/czech-republic-coronavirus-vaccine-andrej-babis-allies-offer-80k/
AstraZeneca/Oxford	Approved	South Africa	Yes	Serum Institute	India	African Union	1.5	2	Mar-21	Purchased	Secondary	Direct	Lower middle income	 1,822 	2,373,996.74	0.0012	0.058%	 1,302,819,408 	 1,302.819 	South Africa sold its AZ doses to other AU states after a small trial found that the vaccine was not effective against the local variant. SA had already received 1m doses with an additional 0.5m pending to be delivered. 9 AU states have received the doses in the first round, with another 5 states receiving doses in the next round. No mention of the doses, prices or the countries receiving them. AU GNI/population calculated without Saharawi due to lack of World Bank data.	https://www.reuters.com/article/us-health-coronavirus-safrica-vaccine/south-africa-sells-astrazeneca-covid-19-vaccines-to-other-african-countries-idUSKBN2BD0K4 ; https://www.nytimes.com/live/2021/02/16/world/covid-19-coronavirus#south-africa-will-pass-along-its-astrazeneca-vaccine-to-others-after-a-disappointing-result-against-its-virus-variant
Pfizer/BioNTech	Approved	Spain	Yes			Andorra	0.03	2	Jan-21	Purchased	Secondary	Direct	High income	 .. 	#VALUE!	0.3889	19.445%	 77,142 	 0.077 	Andorra will reportedly pay the same price that Spain paid for these doses	https://www.newtral.es/espana-reventa-andorra-vacunas-covid/20210121/
Not available	#N/A	Spain	Yes			Unclear	7.5	#N/A	Jul-21	Donation	Secondary	Intermediary - COVAX	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	Spain has stated that it will donate at least 7.5m doses of the vaccines it receives through its EU allocation to Latin American countries via COVAX	https://www.dw.com/es/espa%C3%B1a-donar%C3%A1-75-millones-de-dosis-de-vacunas-a-am%C3%A9rica-latina/a-57282285
Not available	#N/A	Spain	Yes			COVAX	15	#N/A		Donation	Secondary	Direct	COVAX	 9,100 	62,148,189.00	0.0022	#N/A	 6,829,734,856 	 6,829.735 	Donation pledged to COVAX during the GAVI Summit in June 2021	https://www.gavi.org/news/media-room/world-leaders-unite-commit-global-equitable-access-covid-19-vaccines
AstraZeneca/Oxford	Approved	St. Vincent and the Grenadines	Yes			Trinidad and Tobago	0.016	2	May-21	Donation	Tertiary	Direct	High income	 17,010 	23,723.24	0.0115	0.573%	 1,394,973 	 1.395 	St. Vincent and the Grenadines has not announced any primary arrangements with AstraZeneca, and therefore arrangement is assumed to be tertiary	https://foreign.gov.tt/resources/news/trinidad-and-tobago-receives-16000-doses-who-approved-astrazeneca-covid-19-vaccines-saint-vincent-and-grenadines/
